"Genomes" "Leducq2021" "Alessa2021" "Species" "NamePhylo" "NameStrains" "AvPS" "SdPS" "MinPS" "MaxPS" "-" "Air" "Anthropo" "Endophyte" "Food" "Fungus" "Lake" "Lichen" "Microbiome" "Ocean" "Phyllosphere" "Plant" "Rhizhosphere" "Sediments" "Seed" "Skin" "Soil" "Space" "Unknown" "Water"
"2" "A9" "" "Meth_sp" "st73_st75" "GXS13;J-001" "0.983083520750974" NA "0.983083520750974" "0.983083520750974" "0" "0" "0" "0.5" "0" "0" "0" "0" "0" "0" "0.5" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "A9" "" "Meth_sp" "st169_st188" "P1-11;UNC378MF" "0.979461309293079" NA "0.979461309293079" "0.979461309293079" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.5" "0.5" "0" "0" "0" "0" "0" "0" "0"
"2" "A9" "" "Meth_sp" "st197_st200" "WL2;WL64" "0.993157843396831" NA "0.993157843396831" "0.993157843396831" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_phyllostachyos" "st30" "BL47" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"7" "A9" "a4" "Meth_sp_Meth_radiotolerans" "st34_st59_st68_st91_st150_st161_st179" "C1;DSM760;ES_PA-B5;JCM2831;ME94;NBRC15690;RE1.2" "0.995118484529098" "0.00121650253759133" "0.994027558670371" "1" "0" "0" "0.142857142857143" "0.142857142857143" "0" "0" "0" "0" "0" "0" "0" "0" "0.142857142857143" "0" "0.142857142857143" "0" "0" "0" "0.285714285714286" "0.285714285714286"
"2" "A9" "a4" "Meth_sp_Meth_longum" "st65_st139" "E-046;DSM23933T" "0.999545903858987" NA "0.999545903858987" "0.999545903858987" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "a4" "Meth_pseudosasicola" "st29" "BL36" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"8" "A9" "a4" "Meth_oryzae_Meth_phyllosphaerae_Meth_fujisawaense_Meth_sp" "st36_st37_st57_st189_st190_st206_st210_st211" "CBMB20;CBMB27;DSM5686;UNCCL110;UNCCL125;XJLW;YL-MPn5-2016;YL-MPn6-2016" "0.993479960392028" "0.00213540645553601" "0.992307074778334" "1" "0" "0" "0.125" "0" "0" "0" "0" "0" "0" "0" "0.25" "0.25" "0" "0" "0" "0" "0" "0" "0.125" "0.375"
"4" "A9" "a4" "Meth_brachiatum_Meth_sp" "st2_st23_st72_st186" "111MFTsu3.1M4;ARG-1;GXF4;TX0642" "0.979575652557904" "0.00714249351613158" "0.972999123906269" "0.986180148760926" "0" "0" "0.25" "0.25" "0" "0.25" "0" "0" "0" "0" "0" "0.25" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "B" "" "Meth_sp" "st26" "B4" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "B" "" "Meth_sp" "st78" "J-043" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "B" "" "Meth_sp" "st104" "Leaf123" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "B" "" "Meth_sp" "st108" "Leaf456" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "B" "" "Meth_sp" "st177" "R2-1" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0"
"2" "B" "" "Meth_sp" "st21_st176" "AMS5;Q1" "0.992215981597385" NA "0.992215981597385" "0.992215981597385" "0" "0" "0" "0.5" "0" "0" "0" "0" "0" "0" "0.5" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "B" "" "Meth_populi" "st168" "P-1M" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"2" "B" "b" "Meth_sp_Meth_suomiense" "st94_st155" "L1A1;DSM14458T" "0.999566654629295" NA "0.999566654629295" "0.999566654629295" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.5" "0" "0" "0.5"
"3" "B" "b" "Meth_sp_Meth_rhodesianum-lusitanum" "st46_st58_st149" "DB1607;DSM5687;MB200" "0.990085372373905" "0.000616963542541903" "0.989673902342289" "0.990794757389849" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"4" "B" "b" "Meth_sp_Meth_aminovorans" "st43_st48_st152_st163" "CLZ;DM1;NBRC15686T;NI91" "0.985054855230069" "0.00730935006019932" "0.981873979139606" "0.999969515490288" "0" "0" "0.25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.75" "0" "0" "0"
"1" "B" "b" "Meth_salsuginis" "st41" "CGMCC1.6474" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "B" "b" "Meth_rhodinum" "st54" "DSM2163" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
